"public_traded","ticker","exchange","market_cap","revenue","no_employes","founding_date","location","related_domains","domain"
"Yes","PLCE","NASDAQ","$1.58B","$1.4B","12,000","1969","Secaucus, New Jersey","childrensplace.com, gymboree.com, thechildrenplace.com, gymboreeclassics.com","childrensplace.com"
"No",NA,NA,NA,NA,NA,"1982","Irvine, California","tillys.com, tillys.co.uk, tillys.eu, tillys.ca, tillys.com.au","tillys.com"
"Yes","CDW","NASDAQ",NA,NA,"12,000","1984","Vernon Hills, IL, U.S.","cdw.com, cdwg.com, cdwhealthcare.com, cdw.ca, cdw.co.uk, cdw.fr, cdw.de, cdw.es, cdw.it, cdw.nl, cdw.be, cdw.lu, cdw.ch, cdw.at, cdw.se, cdw.dk, cdw.fi, cdw.no, cdw.pl, cdw.cz, cdw.sk, cdw.hu, cdw.ro, cdw.bg, cdw.rs, cdw.si, cdw.hr, cdw.ba, cdw.me, cdw.mk, cdw.al, cdw.kz, cdw.uz, cdw.tj, cdw.kg, cdw.ge, cdw.am, cdw.az, cdw.by, cdw.ua, cdw.md, cdw.ru, cdw.kz, cdw.uz, cdw.tj, cdw.kg, cdw.ge, cdw.am, cdw.az, cdw.by, cdw.ua, cdw.md, cdw.ru","cdw.com"
"No",NA,NA,NA,NA,NA,"2011","Cape Town, South Africa","takealot.com","takealot.com"
"No",NA,NA,NA,NA,NA,"2002","San Francisco, California","birchlane.com","birchlane.com"
"No",NA,NA,NA,NA,NA,"1877","Bornheim, Germany","hornbach.com, hornbach.de, hornbach.at, hornbach.ch, hornbach.cz, hornbach.sk, hornbach.hu, hornbach.ro, hornbach.bg, hornbach.rs, hornbach.hr, hornbach.si, hornbach.ba, hornbach.me, hornbach.mk, hornbach.al, hornbach.gr, hornbach.cy, hornbach.mt, hornbach.ee, hornbach.lv, hornbach.lt, hornbach.se, hornbach.dk, hornbach.no, hornbach.fi, hornbach.pl, hornbach.ua, hornbach.by, hornbach.kz, hornbach.uz, hornbach.kg, hornbach.tj, hornbach.tm, hornbach.cn, hornbach.com.au, hornbach.co.nz, hornbach.com.mx, hornbach.com.co, hornbach.com.pe, hornbach.cl, hornbach.com.ar, hornbach.com.br","hornbach.de"
"No",NA,NA,NA,NA,NA,"2014","Berlin, Germany","medikamenteperklick.de","medikamenteperklick.de"
"No",NA,NA,NA,NA,NA,"2015","San Francisco, California","surlatable.com","surlatable.com"
"No",NA,NA,NA,NA,NA,"2016","San Francisco, California","sayweee.com","sayweee.com"
"No",NA,NA,NA,NA,NA,"1919","Weimar, Germany","bauhausarchiv.de, bauhaus.de","bauhaus.info"
"No",NA,NA,NA,NA,NA,NA,NA,NA,"christ.de"
"No",NA,NA,NA,NA,NA,"2010","New York City, New York","saatva.com, saatva.co.uk, saatva.ca, saatvamattress.com, saatva.com.au, saatva.de, saatva.es, saatva.fr, saatva.it, saatva.nl, saatva.se, saatva.be, saatva.ch, saatva.at, saatva.dk, saatva.fi, saatva.no, saatva.pt, saatva.ie, saatva.lu, saatva.li, saatva.mc, saatva.sm, saatva.va, saatva.ad, saatva.gi, saatva.je, saatva.gg, saatva.im, saatva.ky, saatva.ms, saatva.tc, saatva.vg, saatva.ai, saatva.bm, saatva.bs, saatva.vg","saatva.com"
"No",NA,NA,NA,NA,NA,"2007","Hamburg, Germany","geoonline.de, geoonline.com, geoonline.net, geoonline.org, geoonline.info","geoonline.co.jp"
"No",NA,NA,NA,NA,NA,"1919","Louisville, Kentucky, United States","geappliances.com","geappliances.com"
"No",NA,NA,NA,NA,NA,"1993","New York City, United States","katespade.com, katespadeny.com, katespadeoutlet.com, katespadehandbags.com, katespadewatches.com, katespadefactory.com","katespade.com"
"Yes","1913.HK","Hong Kong Stock Exchange","$13.22B","$4.26B","13,200","1913","Milan, Italy","prada.com, miumiu.com, churchfootwear.com, carshue.com, pradacandy.com, pradabeauty.com, pradajournal.com, theline.prada.com, fondazioneprada.org, pradagroup.com","prada.com"
"No",NA,NA,NA,NA,NA,"1847","London, United Kingdom","canda.com","canda.com"
"Yes","BOO","London Stock Exchange","£1.8 billion","£1.2 billion","5,000","2006","Manchester, United Kingdom","boohoo.com, boohooman.com, prettylittlething.com, nastygal.com, karenmillen.com, coastfashion.com, misspap.com, oasisstores.com, warehousefashion.com, wallisfashion.com, DorothyPerkins.com, Burton.co.uk, Topman.co.uk, MissSelfridge.com, Evans.co.uk, Wallis.co.uk, DorothyPerkins.com, Burton.co.uk, Topman.co.uk, MissSelfridge.com, Evans.co.uk","boohoo.com"
"No",NA,NA,NA,NA,NA,"2015","San Francisco, California","ti.com","ti.com"
"No",NA,NA,NA,NA,NA,"2019","London, United Kingdom","toom.com","toom.de"
"No",NA,NA,NA,NA,NA,"1892","New York, NY, U.S.","vogue.com, vogue.co.uk, vogue.fr, vogue.it, vogue.es, vogue.de, vogue.ru, vogue.jp, vogue.cn, vogue.in, vogue.mx, vogue.com.au, vogue.pl, vogue.ua, vogue.cz, vogue.sk, vogue.bg, vogue.rs, vogue.hr, vogue.si, vogue.gr, vogue.cy, vogue.ro, vogue.hu, vogue.lv, vogue.lt, vogue.ee, vogue.se, vogue.dk, vogue.no, vogue.fi, vogue.is, vogue.pt, vogue.br, vogue.ar, vogue.cl, vogue.co, vogue.pe, vogue.ec, vogue.bo, vogue.uy, vogue.py, vogue.do, vogue.hn, vogue.gt, vogue.sv, vogue.ni, vogue.cr, vogue.pa, vogue.ve, vogue.pe, vogue.ec, vogue.bo, vogue.uy, vogue.py, vogue.do, vogue.hn, vogue.gt, vogue.sv, vogue.ni, vogue.cr, vogue.pa, vogue.ve, vogue.mx, vogue.com.au, vogue.pl, vogue.ua, vogue.cz, vogue.sk, vogue.bg, vogue.rs, vogue.hr, vogue.si, vogue.gr, vogue.cy, vogue.ro, vogue.hu, vogue.lv, vogue.lt, vogue.ee, vogue.se, vogue.dk, vogue.no, vogue.fi, vogue.is, vogue.pt, vogue.br, vogue.ar, vogue.cl, vogue.co, vogue.pe, vogue.ec, vogue.bo, vogue.uy, vogue.py, vogue.do, vogue.hn, vogue.gt, vogue.sv, vogue.ni, vogue.cr, vogue.pa, vogue.ve","vogue.com"
"No",NA,NA,NA,NA,NA,"1957","Toronto, Canada","canadagoose.com, canadagoose.co.uk, canadagoose.jp, canadagoose.fr, canadagoose.de, canadagoose.it, canadagoose.es, canadagoose.nl, canadagoose.be, canadagoose.se, canadagoose.dk, canadagoose.fi, canadagoose.no, canadagoose.hk, canadagoose.sg, canadagoose.kr, canadagoose.tw, canadagoose.cn, canadagoose.com.au, canadagoose.co.nz","canadagoose.com"
"Yes","WHR","NYSE","$102.54B","$20.4B","75,000","1911","Benton Harbor, Michigan","whirlpool.com, whirlpoolcorp.com, kitchenaid.com, maytag.com, amana.com, jennair.com, everydropwaterfilter.com, whirlpoolparts.com, whirlpool.ca, whirlpool.com.mx, whirlpool.com.co, whirlpool.com.ar, whirlpool.cl, whirlpool.com.pe, whirlpool.com.ec, whirlpool.com.uy, whirlpool.com.do, whirlpool.com.pa, whirlpool.com.sv, whirlpool.com.gt, whirlpool.com.hn, whirlpool.com.ni, whirlpool.com.cr, whirlpool.com.py","whirlpool.com"
"No",NA,NA,NA,NA,NA,"1987","Toowoomba, Queensland, Australia","frysfood.com.au","frysfood.com"
"No",NA,NA,NA,NA,NA,"2017","Berlin, Germany","refurbed.com","refurbed.de"
"No",NA,NA,NA,NA,NA,"1998","Berlin, Germany","flaconi.de, flaconi.at, flaconi.ch, flaconi.pl, flaconi.si, flaconi.hu, flaconi.cz, flaconi.sk","flaconi.de"
"No",NA,NA,NA,NA,NA,"2007","New York City, New York","gearpatrol.com","gearpatrol.com"
"Yes","TED","London Stock Exchange","£260.8 million","£552.7 million","4,844","1988","London, United Kingdom","tedbaker.com, tedbakerlondon.com, tedbakeruk.com, tedbakerusa.com, tedbakereu.com, tedbakerca.com, tedbakerau.com, tedbakernz.com, tedbakerhk.com, tedbakersg.com, tedbakermy.com, tedbakertw.com, tedbakerjp.com, tedbakerkr.com, tedbakercn.com","tedbaker.com"
"No",NA,NA,NA,NA,NA,"1818","New York City, United States","brooksbrothers.com","brooksbrothers.com"
"No",NA,NA,NA,NA,NA,"1856","Manchester, Vermont, United States","orvis.com, orvis.co.uk, orvis.de, orvis.fr, orvis.jp, orvis.nl, orvis.se, orvis.es, orvis.it, orvis.ca, orvis.com.au, orvis.sg, orvis.hk, orvis.tw, orvis.kr, orvis.com.cn, orvis.com.mx, orvis.com.br, orvis.com.ar, orvis.com.co, orvis.com.pe, orvis.com.cl, orvis.com.uy, orvis.com.ec, orvis.com.do, orvis.com.pa, orvis.com.cr, orvis.com.ni, orvis.com.sv, orvis.com.gt, orvis.com.hn, orvis.com.bz, orvis.com.jm, orvis.com.tt, orvis.com.gy, orvis.com.sr, orvis.com.bo, orvis.com.py, orvis.com.uy, orvis.com.ve, orvis.com.ec, orvis.com.co, orvis.com.pe, orvis.com.cl, orvis.com.uy, orvis.com.do, orvis.com.pa, orvis.com.cr, orvis.com.ni, orvis.com.sv, orvis.com.gt, orvis.com.hn, orvis.com.bz, orvis.com.jm, orvis.com.tt, orvis.com.gy, orvis.com.sr, orvis.com.bo, orvis.com.py, orvis.com.uy, orvis.com.ve","orvis.com"
"Yes","PHG","NYSE","$33.21B","$25.78B","78,000","1891","Amsterdam, Netherlands","philips.com, healthcare.philips.com, lighting.philips.com, avent.philips.com, sonicare.philips.com, norelco.philips.com, hue.philips.com, dynabook.com, tpvision.com, signify.com","philips.com"
"No",NA,NA,NA,NA,NA,"1993","Lehi, Utah, United States","youngliving.com, younglivingessentialoils.com, youngliving.net, younglivingoils.com, younglivingproducts.com, younglivinghealth.com, younglivingwellness.com, younglivingbusiness.com, younglivingcareer.com, younglivingopportunity.com","youngliving.com"
"No",NA,NA,NA,NA,NA,"1948","Dayton, Ohio, U.S.","hoeffner.com","hoeffner.de"
"No",NA,NA,NA,NA,NA,"1948","London, United Kingdom","riverisland.com, riverislandclothing.com, riverislandhome.com, riverislandkids.com, riverislandbeauty.com, riverisland.co.uk, riverislandclothing.co.uk, riverislandhome.co.uk, riverislandkids.co.uk, riverislandbeauty.co.uk","riverisland.com"
"No",NA,NA,NA,NA,NA,"2015","Helsinki, Finland","vuoriclothing.com, vuoriclothing.eu, vuoriclothing.co.uk, vuoriclothing.ca, vuoriclothing.de, vuoriclothing.fr, vuoriclothing.se, vuoriclothing.dk, vuoriclothing.nl, vuoriclothing.be, vuoriclothing.at, vuoriclothing.ch, vuoriclothing.ie, vuoriclothing.es, vuoriclothing.it, vuoriclothing.pt, vuoriclothing.gr, vuoriclothing.cy, vuoriclothing.ro, vuoriclothing.bg, vuoriclothing.hr, vuoriclothing.si, vuoriclothing.sk, vuoriclothing.cz, vuoriclothing.hu, vuoriclothing.pl, vuoriclothing.lt, vuoriclothing.lv, vuoriclothing.ee, vuoriclothing.ru, vuoriclothing.ua, vuoriclothing.by, vuoriclothing.kz, vuoriclothing.uz, vuoriclothing.kg, vuoriclothing.tj, vuoriclothing.tm, vuoriclothing.cn, vuoriclothing.jp, vuoriclothing.kr, vuoriclothing.tw, vuoriclothing.hk, vuoriclothing.sg, vuoriclothing.my, vuoriclothing.th, vuoriclothing.id, vuoriclothing.ph, vuoriclothing.vn, vuoriclothing.kh, vuoriclothing.la, vuoriclothing.mm, vuoriclothing.bn, vuoriclothing.tl, vuoriclothing.pg, vuoriclothing.sb, vuoriclothing.vu, vuoriclothing.fj, vuoriclothing.to, vuoriclothing.ws, vuoriclothing.ck, vuoriclothing.nu, vuoriclothing.nf, vuoriclothing.ki, vuoriclothing.tv, vuoriclothing.mh, vuoriclothing.fm, vuoriclothing.pw, vuoriclothing.gu, vuoriclothing.mp, vuoriclothing.vi, vuoriclothing.as, vuoriclothing.pr, vuoriclothing.gu, vuoriclothing.mp, vuoriclothing.vi, vuoriclothing.as, vuoriclothing.pr","vuoriclothing.com"
"No",NA,NA,NA,NA,NA,"1947","South St. Paul, Minnesota, United States","sportsmansguide.com, sgmembers.com, sgwarehouse.com, sgoutfitters.com, sgclearance.com, sgboats.com, sgcycles.com, sgmarine.com, sgpowersports.com, sgsecurity.com, sgworkwear.com","sportsmansguide.com"
"No",NA,NA,NA,NA,NA,"2014","San Francisco, California","ridge.com","ridge.com"
"No",NA,NA,NA,NA,NA,"1847","Paris, France","cartier.com, cartier.fr, cartier.co.uk, cartier.de, cartier.it, cartier.es, cartier.jp, cartier.cn","cartier.com"
"No",NA,NA,NA,NA,NA,"1980","Minneapolis, Minnesota","roomandboard.com","roomandboard.com"
"No",NA,NA,NA,NA,NA,"2001","Houston, Texas","whitehouseblackmarket.com","whitehouseblackmarket.com"
"Yes","ZAL","Frankfurt Stock Exchange","€12.5 billion","€10.3 billion","17,000","2008","Berlin, Germany","zalando.com, zalandolounge.com, zalandoprive.de, zalandomediasolutions.com, zms.zalando.com, about.zalando.com, career.zalando.com, corporate.zalando.com, investor.zalando.com, zalandomediasolutions.com, zms.zalando.com, zalandolounge.de, zalandolounge.at, zalandoprive.fr, zalandoprive.be, zalandoprive.nl, zalandoprive.es, zalandoprive.it, zalandoprive.pl, zalandoprive.at, zalandoprive.ch, zalandoprive.se, zalandoprive.dk, zalando.co.uk, zalando.ie, zalando.be, zalando.nl, zalando.fr, zalando.es, zalando.it, zalando.pl, zalando.at, zalando.ch, zalando.se, zalando.dk, zalando.fi, zalando.no, zalando.lu, zalando.si, zalando.hr, zalando.ro, zalando.bg, zalando.gr, zalando.cy, zalando.mt, zalando.com.tr, zalando.ae, zalando.sa, zalando.qa, zalando.kw, zalando.om, zalando.bh, zalando.jo, zalando.lb, zalando.iq, zalando.ma, zalando.tn, zalando.dz, zalando.ly, zalando.eg, zalando.sd, zalando.ke, zalando.tz, zalando.ug, zalando.rw, zalando.zm, zalando.na, zalando.bw, zalando.ls, zalando.sz, zalando.mw, zalando.mz, zalando.mg, zalando.re, zalando.mu, zalando.sc, zalando.cv, zalando.ao, zalando.ga, zalando.cg, zalando.cd, zalando.cf, zalando.td, zalando.cm, zalando.gq, zalando.st, zalando.gw, zalando.sl, zalando.lr, zalando.ci, zalando.bf, zalando.ne, zalando.bj, zalando.tg, zalando.gh, zalando.ng, zalando.sn, zalando.ml, zalando.gm, zalando.mr, zalando.eh, zalando.ma, zalando.dz, zalando.ly, zalando.tn, zalando.sd, zalando.eg, zalando.jo, zalando.lb, zalando.iq, zalando.kw, zalando.om, zalando.sa, zalando.qa, zalando.bh, zalando.ae, zalando.com.tr, zalando.ke, zalando.tz, zalando.ug, zalando.rw, zalando.zm, zalando.na, zalando.bw, zalando.ls, zalando.sz, zalando.mw, zalando.mz, zalando.mg, zalando.re, zalando.mu, zalando.sc, zalando.cv, zalando.ao, zalando.ga, zalando.cg, zalando.cd, zalando.cf, zalando.td, zalando.cm, zalando.gq, zalando.st, zalando.gw, zalando.sl, zalando.lr, zalando.ci, zalando.bf, zalando.ne, zalando.bj, zalando.tg, zalando.gh, zalando.ng, zalando.sn, zalando.ml, zalando.gm, zalando.mr, zalando.eh","zalando.be"
"No",NA,NA,NA,NA,NA,"1849","London, United Kingdom","harrods.com","harrods.com"
"No",NA,NA,NA,NA,NA,"1976","Irvine, California","frontgate.com","frontgate.com"
"Yes","GMCR","NASDAQ","$13.86 Billion","$5.08 Billion","12,500","1992","Burlington, Massachusetts","keurig.com, keurigdrpepper.com, greenmountaincoffee.com, peets.com, cariboucoffee.com, dunkindonuts.com, folgers.com, eightoneighty.com, thecoffeebeanandtealeaf.com","keurig.com"
"No",NA,NA,NA,NA,NA,"1873","Compton, California, United States","ralphs.com","ralphs.com"
"Yes","NTGR","NASDAQ",NA,NA,NA,NA,"San Jose, California, U.S.","netgear.com, arlo.com, orbi.com, meural.netgear.com, netgeargear.com, netgearbusiness.com","netgear.com"
"No",NA,NA,NA,NA,NA,"1995","St. Petersburg, Florida","shophq.com","shophq.com"
"No",NA,NA,NA,NA,NA,"2005","London, United Kingdom","theperfumeshop.com, theperfumeshop.co.uk, theperfumeshop.ie, theperfumeshop.fr, theperfumeshop.es, theperfumeshop.de, theperfumeshop.it, theperfumeshop.eu, theperfumeshop.com.cy, theperfumeshop.com.mt, theperfumeshop.com.gr, theperfumeshop.com.pt, theperfumeshop.com.pl, theperfumeshop.com.ro, theperfumeshop.com.cz, theperfumeshop.com.hu, theperfumeshop.com.sk, theperfumeshop.com.bg, theperfumeshop.com.hr, theperfumeshop.com.si, theperfumeshop.com.ua, theperfumeshop.com.ru, theperfumeshop.com.kz, theperfumeshop.com.by, theperfumeshop.com.am, theperfumeshop.com.ge, theperfumeshop.com.az, theperfumeshop.com.uz, theperfumeshop.com.kg, theperfumeshop.com.tj, theperfumeshop.com.tm, theperfumeshop.com.cn, theperfumeshop.com.hk, theperfumeshop.com.sg, theperfumeshop.com.my, theperfumeshop.com.id, theperfumeshop.com.th, theperfumeshop.com.ph, theperfumeshop.com.vn, theperfumeshop.com.kh, theperfumeshop.com.la, theperfumeshop.com.mm, theperfumeshop.com.bn, theperfumeshop.com.tl, theperfumeshop.com.sg, theperfumeshop.com.my, theperfumeshop.com.id, theperfumeshop.com.th, theperfumeshop.com.ph, theperfumeshop.com.vn, theperfumeshop.com.kh, theperfumeshop.com.la, theperfumeshop.com.mm, theperfumeshop.com.bn, theperfumeshop.com.tl","theperfumeshop.com"
"No",NA,NA,NA,NA,NA,"2003","Sausalito, California","zennioptical.com, zennioptical.co.uk, zennioptical.ca, zennioptical.com.au, zennioptical.sg, zennioptical.es, zennioptical.it, zennioptical.fr, zennioptical.de, zennioptical.nl, zennioptical.be, zennioptical.se, zennioptical.dk, zennioptical.no, zennioptical.fi, zennioptical.at, zennioptical.ch, zennioptical.ie, zennioptical.co.nz, zennioptical.com.hk, zennioptical.com.tw, zennioptical.jp, zennioptical.com.mx, zennioptical.cl, zennioptical.co.il, zennioptical.co.za, zennioptical.com.ar, zennioptical.com.co, zennioptical.com.pe, zennioptical.com.uy, zennioptical.eu","zennioptical.com"
"No",NA,NA,NA,NA,NA,"1935","Horsham, Victoria, Australia","ruralking.com.au","ruralking.com"
"No",NA,NA,NA,NA,NA,"1906","Arcadia, California, U.S.","vons.com, safeway.com, pavilions.com, randalls.com, tomthumb.com","vons.com"
"No",NA,NA,NA,NA,NA,"2007","Houston, Texas","primaryarms.com","primaryarms.com"
"No",NA,NA,NA,NA,NA,"1996","Los Angeles, California","metro.net, metro.org","metro.de"
"No",NA,NA,NA,NA,NA,"1895","Wattens, Austria","swarovski.com, swarovski.net, swarovskiprofessional.com, swarovskigroup.com, swarovskielements.com, swarovskifashion.com, swarovskijewelry.com, swarovskiwatches.com, swarovskicrystalsociety.com, swarovskicrystalpalace.com, swarovskicrystalworld.com, swarovskimansion.com, swarovskimuseum.com, swarovskifoundation.com, swarovskicareers.com, swarovskiblog.com, swarovskistories.com, swarovskiprofessionalblog.com, swarovskigroupnewsroom.com, swarovskigroupsustainability.com, swarovskigroupcareers.com, swarovskigroupinvestors.com","swarovski.com"
"No",NA,NA,NA,NA,NA,"1968","San Francisco, California","rh.com, rhbabyreg.com, rhteen.com, rhmodern.com, rhbabyandchild.com, rhregistry.com, rhguesthouse.com, rhinteriordesign.com, rhcontemporary.com, rhoutdoor.com, rhlighting.com, rhrugs.com, rhtabletop.com, rhkids.com, rhbeachhouse.com, rhmodern.com, rhbabyandchild.com, rhinteriordesign.com, rhcontemporary.com, rhoutdoor.com, rhlighting.com, rhrugs.com, rhtabletop.com, rhkids.com, rhbeachhouse.com","rh.com"
"No",NA,NA,NA,NA,NA,"2007","New York City, New York","hodinkee.com","hodinkee.com"
"Yes","GPRO","NASDAQ","$1.68B","$1.1B","1,100","2002","San Mateo, CA","gopro.com, goprocamera.com, goproawards.com, goproexchange.com, goproplus.com, goproenterprise.com, gopro.com.au, gopro.co.uk, gopro.de, gopro.fr, gopro.it, gopro.es, gopro.nl, gopro.be, gopro.se, gopro.dk, gopro.no, gopro.fi, gopro.pl, gopro.cz, gopro.hu, gopro.ro, gopro.sk, gopro.bg, gopro.rs, gopro.hr, gopro.si, gopro.ua, gopro.ru, gopro.kz, gopro.by, gopro.am, gopro.ge, gopro.az, gopro.tr, gopro.sa, gopro.ae, gopro.qa, gopro.kw, gopro.om, gopro.bh, gopro.lb, gopro.jo, gopro.iq, gopro.sy, gopro.ps, gopro.ye, gopro.om, gopro.co.in, gopro.sg, gopro.my, gopro.th, gopro.id, gopro.ph, gopro.vn, gopro.jp, gopro.kr, gopro.tw, gopro.hk, gopro.cn","gopro.com"
"No",NA,NA,NA,NA,NA,"1962","Gaziantep, Turkey","sanmar.com.tr, sanmarholding.com.tr, sanmar.com, sanmarholding.com","sanmar.com"
"No",NA,NA,NA,NA,NA,"1990","Düsseldorf, Germany","euronics.com, euronics.de, euronics.fr, euronics.es, euronics.pt, euronics.it, euronics.nl, euronics.be, euronics.lu, euronics.at, euronics.ch, euronics.si, euronics.hr, euronics.rs, euronics.ba, euronics.mk, euronics.al, euronics.gr, euronics.cy, euronics.mt, euronics.ie, euronics.uk","euronics.de"
"No",NA,NA,NA,NA,NA,"2016","San Francisco, CA","cozyearth.com, cozyearthkids.com, cozyearthbaby.com, cozyearthhome.com, cozyearthpets.com, cozyearthtravel.com, cozyearthwellness.com","cozyearth.com"
"No",NA,NA,NA,NA,NA,"2014","New York, NY","casper.com","casper.com"
"No",NA,NA,NA,NA,NA,"1975","Stamford, Connecticut","dooney.com","dooney.com"
"No",NA,NA,NA,NA,NA,"1952","Warwick, Rhode Island","rosssimons.com, rosssimons.net, rosssimons.com, rosssimons.co.uk, rosssimons.de, rosssimons.fr, rosssimons.it, rosssimons.es, rosssimons.jp, rosssimons.com.au, rosssimons.ca","rosssimons.com"
"No",NA,NA,NA,NA,NA,"2013","Atlanta, Georgia","chairish.com","chairish.com"
"No",NA,NA,NA,NA,NA,"2009","São Paulo, Brazil","lojadomecanico.com.br","lojadomecanico.com.br"
"No",NA,NA,NA,NA,NA,"1995","New York City, United States","flightclub.com, flightclubnyc.com, thesolesupplier.co.uk","flightclub.com"
"No",NA,NA,NA,NA,NA,"1517","Wittenberg, Germany","reformation.org","thereformation.com"
"No",NA,NA,NA,NA,NA,"2013","New York City, New York","thursdayboots.com, thursdayboots.co.uk, thursdayboots.eu, thursdayboots.ca, thursdayboots.com.au","thursdayboots.com"
"Yes","HIBB","Nasdaq","$1.34B","$3.3B","6,000","1945","Birmingham, Alabama","hibbett.com, citygear.com, jackrabbit.com, rodes.com, finishline.com, runningwarehouse.com, zappos.com, shoebuy.com, eastbay.com, champssports.com, footlocker.com, footaction.com, kidsfootlocker.com, ladyfootlocker.com, six02.com, stadiumgoods.com, eastbayblog.com, finishlineblog.com, runningwarehouseblog.com, zapposinsights.com, shoebuyblog.com, champssportsblog.com, footlockerblog.com, footactionblog.com, kidsfootlockerblog.com, ladyfootlockerblog.com, six02blog.com, stadiumgoodsblog.com","hibbett.com"
"No",NA,NA,NA,NA,NA,"2010","Prague, Czech Republic","slevomat.cz, slevomat.sk, slevomat.pl, slevomat.hu, slevomat.ro, slevomat.hr, slevomat.bg, slevomat.rs","slevomat.cz"
"No",NA,NA,NA,NA,NA,"1929","New York City, New York","moma.org, moma.edu, momastore.org","moma.org"
"No",NA,NA,NA,NA,NA,"2013","San Francisco, CA","saq.com","saq.com"
"No",NA,NA,NA,NA,NA,"2006","Columbus, Ohio","roguefitness.com, rogueeurope.eu, roguefitness.ca, roguefitness.com.au, roguefitness.jp","roguefitness.com"
"No",NA,NA,NA,NA,NA,"1999","Madison, Wisconsin, United States","shopbop.com, eastdane.com, buynona.com, gilt.com, giltcity.com, giltman.com, giltgroupe.com, gilt.co.uk, gilt.jp, gilt.fr, gilt.de, gilt.es, gilt.it, gilt.se, gilt.dk, gilt.no, gilt.fi, gilt.at, gilt.ch, gilt.be, gilt.nl, gilt.lu, gilt.ie, gilt.pt, gilt.pl, gilt.cz, gilt.sk, gilt.hu, gilt.ro, gilt.bg, gilt.hr, gilt.si, gilt.gr, gilt.cy, gilt.mt, gilt.ee, gilt.lv, gilt.lt, gilt.by, gilt.ua, gilt.kz, gilt.kg, gilt.tj, gilt.uz, gilt.tm, gilt.az, gilt.ge, gilt.am, gilt.md, gilt.ba, gilt.mk, gilt.rs, gilt.me, gilt.al, gilt.xk, gilt.tr, gilt.il, gilt.lb, gilt.jo, gilt.iq, gilt.kw, gilt.bh, gilt.qa, gilt.ae, gilt.om, gilt.ye, gilt.sa, gilt.eg, gilt.ly, gilt.tn, gilt.dz, gilt.ma, gilt.mr, gilt.sn, gilt.gm, gilt.gw, gilt.sl, gilt.lr, gilt.ci, gilt.bf, gilt.ne, gilt.tg, gilt.bj, gilt.ng, gilt.td, gilt.cf, gilt.cm, gilt.gq, gilt.ga, gilt.cg, gilt.cd, gilt.ao, gilt.gw, gilt.st, gilt.cv, gilt.sn, gilt.gm, gilt.sl, gilt.lr, gilt.ci, gilt.bf, gilt.ne, gilt.tg, gilt.bj, gilt.ng, gilt.td, gilt.cf, gilt.cm, gilt.gq, gilt.ga, gilt.cg, gilt.cd, gilt.ao","shopbop.com"
"No",NA,NA,NA,NA,NA,"1993","Union City, California","ariat.com","ariat.com"
"No",NA,NA,NA,NA,NA,"1981","Tadcaster, North Yorkshire, UK","toolstation.com, toolstationtrade.co.uk, toolstationstores.co.uk, toolstation.ie, toolstation.fr, toolstation.nl, toolstation.de, toolstation.pl, toolstation.at, toolstation.be, toolstation.lu, toolstation.es, toolstation.pt, toolstation.se, toolstation.dk, toolstation.fi, toolstation.no","toolstation.com"
"No",NA,NA,NA,NA,NA,"1957","St. John's, Newfoundland and Labrador, Canada","longmcquade.com","longmcquade.com"
